,country,norm_pop,norm_le,norm_gni
0,Armenia,3.340878828229028,1.5033823529411758,70.24774774774775
1,Burundi,40.77278540844131,1.4985714285714284,0.6512863534675614
2,Lebanon,14.51357358310843,1.8875420875420872,10.456235476374902
3,Grenada,3.1360544217687076,1.6326433121019115,22.665523019229237
4,Brunei,186.04720087815588,1.8539383561643827,91.73258645884071
5,Angola,78.171974522293,1.9170370370370373,4.1243273334570425
6,St. Lucia,4.5125,1.99875,22.710335046977484
7,Rwanda,34.15056833485967,1.628695372750643,3.4103175786491726
8,Bhutan,0.807015306122449,1.9569444444444448,18.530102790014688
9,Lesotho,10.016304347826088,1.0730182926829277,4.45528987880773
10,Bosnia and Herzegovina,1.2340238248929054,1.4603988603988598,46.577777777777776
11,Argentina,104.35027765912004,1.59578313253012,14.575868372943328
12,Portugal,1.4082278481012658,1.539747191011235,46.4314381270903
13,Algeria,25.13482711995364,1.9875000000000007,8.954035874439462
14,Australia,143.20542635658916,1.6820588235294116,98.89216619092927
15,Luxembourg,5.780401416765053,1.4836043360433608,87.6547619047619
16,Tanzania,74.42781192889184,1.5020186335403718,9.079705702023299
17,Madagascar,48.851781772311575,1.5821311475409834,2.4123287671232876
18,United Kingdom,4.245750184774575,1.2203074634267297,15.381650380021716
19,Slovak Republic,0.8913551401869159,1.3804945054945061,38.58423559982676
20,Guinea-Bissau,20.353211009174313,1.3340625,10.348611111111111
21,Trinidad and Tobago,30.960507757404795,1.5655015197568396,23.130458337848086
22,Sierra Leone,20.328715365239294,2.1509960159362542,3.7052941176470586
23,Papua New Guinea,23.23841059602649,1.3528571428571428,10.277945619335348
24,Latvia,0.7357469125359499,1.581969696969697,95.45219482862296
25,Jordan,83.92063492063492,1.7799684542586751,16.13534493552022
26,Iraq,101.73250239693192,1.6480769230769228,4.077616620932967
27,Cote d'Ivoire,75.87614678899082,1.4682692307692304,9.240409207161125
28,Eswatini,23.187637429758123,1.1885448916408674,17.54780876494024
29,Solomon Islands,32.207613367248484,1.6567729083665332,14.917085427135678
30,Bolivia,18.181351886648724,1.543484848484848,16.931405997486085
31,Switzerland,4.516406670252824,1.4267105263157895,28.15390604723592
32,Tunisia,15.621759176097239,2.3479253901789114,11.66810112963959
33,Cape Verde,11.543757292882146,1.5102071005917166,10.786845895343255
34,Hungary,0.9678742310321258,1.3841666666666665,50.04927429046871
35,Mauritania,36.94229011620316,1.5231249999999998,13.796328169822143
36,Uganda,54.565198524625735,2.1758893280632403,2.2399049881235156
37,"Hong Kong, China",252.98559721877328,1.6604584527220636,93.85690082894656
38,Moldova,2.5803940817614475,1.5432024169184286,81.10147822612865
39,Ecuador,43.401119776044794,1.6434650455927058,38.405165666579705
40,Seychelles,7.56,1.260405405405406,36.23813997181775
41,Ethiopia,24.80885395117915,1.8037037037037036,4.677570093457944
42,Romania,1.330400947386229,1.3796918767507,525.7045454545455
43,Russia,2.653295128939828,1.8074324324324316,34.268459860837055
44,Afghanistan,31.774390243902438,1.6850435710474836,2.6164251207729468
45,Saudi Arabia,23.799314733235438,1.6239875389408094,34.613776861937005
46,Turkmenistan,23.274621986105434,2.331875,42.91272858953468
47,North Macedonia,2.400076520851932,1.3134349030470913,43.730643402399124
48,United Arab Emirates,334.19900497512435,1.6824104234527681,61.549070923841924
49,Bulgaria,0.4765765765765766,1.2731289698978183,34.18132141082961
50,South Africa,49.29940119760479,1.2792537313432832,9.668254413000842
51,Thailand,12.04476011793085,1.9199013157894742,33.18478260869565
52,Sudan,32.05346339054204,1.6332802547770702,0.9645555555555555
53,Spain,1.7730346576500422,2.0940677966101697,33.989699217140505
54,Estonia,1.663074390061368,1.37871931989579,107.00053785128412
55,Tajikistan,41.698072805139184,2.3080578512396697,12.878139151914368
56,Georgia,1.4074766355140187,1.610971786833856,17.011618426416632
57,Kyrgyz Republic,21.214885388170927,2.506903765690378,13.305445935280188
58,South Sudan,21.41362763915547,1.8855805243445687,10.726674409601237
59,Cambodia,8.47846889952153,1.3061428571428573,29.29440154440155
60,Senegal,55.613861386138616,2.1994047619047623,5.71904462602137
61,Slovenia,2.6287234042553194,1.4617486338797807,34.69327731092437
62,Cuba,13.564792929811942,1.6185290168581232,20.468422227181435
63,Finland,4.311802274261384,1.6558460634547587,39.54008908685969
64,Malta,2.058955223880597,2.1726480836236925,74.1226574438993
65,Sao Tome and Principe,21.675622109667476,1.651451612903226,7.9800033607797
66,Panama,76.12470704329591,1.7325227963525844,49.707672661487706
67,Belgium,2.484122228879569,1.247098464994384,26.08888888888889
68,Gabon,31.274596646630812,1.5369281045751628,55.663225806451614
69,Vietnam,17.616604660270216,1.62453125,24.809734513274336
70,New Zealand,40.60367722165475,1.6539705882352942,90.55774258034754
71,Zambia,68.2396512903412,1.3236196319018398,4.765002290426019
72,Costa Rica,82.9017616940033,1.9620860927152313,64.07473569084944
73,Lao,20.264759068184237,1.5415360501567403,17.604425465838506
74,Sri Lanka,10.10773387369132,1.6805214723926374,27.93612334801762
75,Syria,33.04881828748547,1.7934083601286168,1.108472214157134
76,St. Vincent and the Grenadines,2.0736434108527133,2.164230769230769,20.755285073670724
77,Mali,57.525,1.8142045454545457,3.7537593984962405
78,Jamaica,2.4490593342981186,1.4931286549707599,15.861725663716815
79,"Congo, Rep.",50.64782677917529,1.303669724770642,8.705119131870724
80,Mozambique,48.2080175996089,1.4292079207920794,1.4800179613830264
81,Bangladesh,8.558222676200204,2.4360784313725485,12.182072829131652
82,Azerbaijan,9.01477104874446,1.723801369863013,180.34848484848484
